Team, Efg_pct, Turnover_PCT, orb_pct, ft_rate, location, ast_PCT,stl_PCT, blk_PCT, opp_Team, opp_Efg_pct, opp_Turnover_PCT, opp_orb_pct, opp_ft_rate, opp_ast_PCT,opp_stl_PCT, opp_blk_PCT, class
NYK, .506, 10.7, 30.0, .179,  home,  64.1,  5.7,  10.4, MIL,  .419,  10.6,  31.1,  .263,  59.4,  8.0,  6.7,  win
CLE,  .439,  9.1,  24.1,  .178,  away,  57.1,  9.4,  3.4, PHI, .494, 18.2, 15.6, .117,  62.9,  6.3,  12.1,  win
PHI, .494, 18.2, 15.6, .117,  home,  62.9,  6.3,  12.1, CLE,  .439,  9.1,  24.1,  .178,  57.1,  9.4,  3.4,  loss
OKC,  .553,  17.1,  20.0,  .342,  away,  62.2,  8.0,  10.7, POR, .515, 13.1, 37.0, .120,  64.3,  7.0,  7.3,  loss
POR, .515, 13.1, 37.0, .120,  home,  64.3,  7.0,  7.3, OKC,  .553,  17.1,  20.0,  .342,  62.2,  8.0,  10.7,  win
SAS,  .561,  11.7,  28.6,  .171,  away,  61.4,  9.0,  6.6, BRK, .466, 16.0, 14.3, .151,  45.5,  5.6,  4.3,  win
BRK, .466, 16.0, 14.3, .151,  home,  45.5,  5.6,  4.3, SAS,  .561,  11.7,  28.6,  .171,  61.4,  9.0,  6.6,  loss
WAS,  .530,  8.0,  27.7,  .091,  away,  64.6,  10.4,  11.9, CHI, .475, 14.7, 25.0, .284,  52.9,  5.2,  8.0,  win
CHI, .475, 14.7, 25.0, .284,  home,  52.9,  5.2,  8.0, WAS,  .530,  8.0,  27.7,  .091,  64.6,  10.4,  11.9,  loss
MIA,  .489,  9.3,  18.4,  .154,  away,  75.6,  2.0,  6.3, GSW, .517, 8.3, 19.1, .256,  61.0,  5.1,  1.4,  loss
GSW, .517, 8.3, 19.1, .256,  home,  61.0,  5.1,  1.4, MIA,  .489,  9.3,  18.4,  .154,  75.6,  2.0,  6.3,  win
CLE,  .500,  8.0,  31.5,  .134,  away,  70.0,  12.7,  7.8, DAL, .563, 15.3, 19.4, .228,  64.1,  4.2,  13.2,  win
DAL, .563, 15.3, 19.4, .228,  home,  64.1,  4.2,  13.2, CLE,  .500,  8.0,  31.5,  .134,  70.0,  12.7,  7.8,  loss
SAS,  .512,  14.9,  26.8,  .259,  away,  48.8,  9.0,  7.4, DET, .451, 10.5, 22.4, .187,  57.9,  8.0,  2.8,  win
DET, .451, 10.5, 22.4, .187,  home,  57.9,  8.0,  2.8, SAS,  .512,  14.9,  26.8,  .259,  48.8,  9.0,  7.4,  loss
PHO,  .449,  15.1,  32.7,  .191,  away,  66.7,  6.2,  5.5, IND, .582, 12.3, 21.6, .304,  61.0,  13.3,  7.8,  loss
IND, .582, 12.3, 21.6, .304,  home,  61.0,  13.3,  7.8, PHO,  .449,  15.1,  32.7,  .191,  66.7,  6.2,  5.5,  win
NOP,  .451,  10.2,  25.0,  .099,  away,  52.6,  2.1,  10.3, LAL, .402, 7.3, 22.0, .287,  50.0,  7.4,  5.9,  loss
LAL, .402, 7.3, 22.0, .287,  home,  50.0,  7.4,  5.9, NOP,  .451,  10.2,  25.0,  .099,  52.6,  2.1,  10.3,  win
HOU,  .545,  13.6,  50.0,  .299,  away,  63.6,  12.3,  7.4, MEM, .507, 17.1, 35.1, .250,  66.7,  11.1,  7.1,  win
MEM, .507, 17.1, 35.1, .250,  home,  66.7,  11.1,  7.1, HOU,  .545,  13.6,  50.0,  .299,  63.6,  12.3,  7.4,  loss
CHI,  .482,  15.1,  43.5,  .224,  away,  62.9,  3.3,  10.0, MIL, .478, 4.5, 27.5, .183,  65.1,  12.0,  16.1,  loss
MIL, .478, 4.5, 27.5, .183,  home,  65.1,  12.0,  16.1, CHI,  .482,  15.1,  43.5,  .224,  62.9,  3.3,  10.0,  win
