Team, score,  Efg_pct, Turnover_PCT, orb_pct, ft_rate, class
PHO, 84, .453, 15.1, 23.5, .082, loss
NYK, 102,.470,7.7,22.2,.274, win
HOU, 108, .426, 8.1, 19.3, .284, loss
OKC, 116,.523,15.4,27.5,.302, win
CHO, 91, .450, 14.8, 26.9, .238, loss
POR, 109,.527,10.0,28.3,.130, win
MIN, 90, .480, 13.9, 30.2, .240, loss
UTA, 103,.592,13.5,28.6,.171, win
SAS, 103, .531, 6.2, 19.5, .210, loss
CLE, 117,.604,9.0,29.4,.220, win
WAS, 123, .587, 10.8, 20.6, .256, win
HOU, 122,.576,9.0,20.8,.267, loss
DEN, 105, .483, 16.2, 18.6, .241, loss
IND, 109,.485,12.3,27.5,.120, win
SAC, 117, .462, 14.9, 37.5, .348, loss
MEM, 121,.570,12.0,5.7,.392, win
BRK, 103, .530, 9.6, 22.7, .167, loss
NOP, 105,.522,8.5,29.2,.086, win
GSW, 108, .563, 19.3, 27.3, .011, win
PHI, 105,.511,9.0,15.1,.120, loss
DET, 107, .500, 9.7, 23.8, .230, loss
TOR, 111,.487,11.6,31.0,.449, win
PHO, 78, .399, 18.3, 27.5, .257, loss
DAL, 91,.449,13.7,28.3,.269, win
CHI, 93, .457, 8.4, 22.0, .086, loss
LAC, 120,.637,10.6,18.4,.155, win
CHO, 101, .443, 8.5, 26.9, .167, win
LAL, 82,.388,14.3,8.2,.250, loss
ATL, 87, .421, 16.8, 5.1, .400, loss
MIA, 105,.512,16.3,25.6,.272, win
GSW, 116, .685, 17.8, 9.4, .219, win
NYK, 95,.400,9.8,22.6,.256, loss
BOS, 114, .505, 8.8, 25.5, .215, loss
ORL, 119,.598,13.3,30.0,.256, win
MIN, 93, .463, 14.8, 34.1, .238, loss
POR, 96,.461,12.7,19.0,.342, win
