Team, score,  Efg_pct, Turnover_PCT, orb_pct, ft_rate, location, ast_PCT, stl_PCT, blk_PCT, class
CLE, 98,.526,14.6,20.5,.221, home, 59.5, 3.2, 8.9, loss
BOS, 113, .489, 10.2, 24.5, .223, away, 60.0, 8.8, 5.1, loss
DAL, 118,.516,11.9,23.4,.237, home, 57.5, 3.9, 3.1, win
CHI, 111, .577, 9.7, 16.7, .167, away, 63.6, 6.4, 8.7, win
DET, 101,.468,9.6,38.5,.126, home, 42.9, 8.6, 3.2, loss
HOU, 132, .563, 11.2, 33.3, .375, away, 70.5, 7.5, 9.3, loss
LAC, 140,.637,10.2,20.0,.264, home, 59.6, 9.4, 10.7, win
NOP, 99, .527, 15.1, 17.1, .284, away, 52.8, 9.1, 8.9, loss
MEM, 101,.520,10.2,28.2,.307, home, 77.1, 10.2, 5.5, win
PHI, 113, .490, 10.3, 14.0, .127, away, 60.0, 7.9, 9.1, loss
NYK, 119,.485,11.3,18.5,.258, home, 60.5, 5.2, 10.8, win
BRK, 100, .546, 14.2, 22.2, .224, away, 61.5, 4.5, 6.6, loss
TOR, 112,.582,7.0,20.0,.153, home, 55.8, 8.9, 6.5, win
POR, 108, .613, 14.4, 22.5, .060, away, 58.1, 5.4, 3.6, win
WAS, 98,.539,9.5,9.3,.195, home, 67.6, 6.5, 5.7, loss
OKC, 110, .454, 10.6, 30.8, .227, away, 73.2, 10.7, 7.9, win
DEN, 104,.464,14.7,25.0,.325, home, 60.0, 4.9, 8.7, loss
MIL, 91, .520, 17.3, 21.2, .189, away, 52.8, 6.9, 7.7, win
MIA, 79,.399,14.1,27.3,.270, home, 48.1, 6.9, 3.2, loss
MIN, 99, .493, 15.1, 30.0, .316, away, 50.0, 10.8, 11.7, loss
NOP, 114,.566,13.9,30.8,.241, home, 50.0, 9.7, 9.7, win
IND, 97, .434, 12.5, 20.0, .301, away, 41.2, 16.0, 13.0, win
PHO, 94,.414,19.0,26.5,.333, home, 53.6, 4.0, 3.2, loss
CLE, 91, .500, 13.2, 16.7, .182, away, 41.7, 6.7, 4.6, win
BRK, 78,.440,12.1,18.8,.048, home, 57.1, 4.4, 6.7, loss
GSW, 125, .589, 8.8, 26.7, .137, away, 76.0, 7.9, 11.3, win
CHI, 94,.375,8.3,27.1,.190, home, 37.8, 4.0, 6.3, loss
MIN, 94, .467, 15.1, 21.3, .099, away, 65.0, 3.9, 12.5, loss
DAL, 106,.459,9.3,17.6,.175, home, 42.9, 10.6, 2.9, win
DET, 123, .550, 8.6, 27.5, .438, away, 60.5, 7.8, 9.9, win
HOU, 114,.516,11.2,22.4,.168, home, 48.8, 6.9, 6.0, loss
SAC, 112, .517, 12.1, 34.1, .225, away, 65.1, 6.1, 18.5, win
LAL, 93,.378,8.0,21.4,.278, home, 53.1, 6.1, 7.2, loss
UTA, 111, .500, 10.7, 35.0, .291, away, 51.4, 4.4, 5.5, loss
NYK, 118,.561,8.4,31.6,.189, home, 42.6, 3.3, 11.9, win
CHO, 95, .475, 15.1, 14.0, .222, away, 50.0, 8.1, 3.4, loss
OKC, 109,.524,17.2,33.3,.265, home, 71.8, 9.1, 5.6, win
PHI, 96, .547, 14.4, 10.5, .203, away, 55.6, 8.6, 11.9, win
ORL, 87,.417,12.8,26.0,.202, home, 57.6, 12.9, 5.5, loss
ATL, 104, .506, 11.8, 21.3, .184, away, 64.1, 7.3, 4.8, win
POR, 98,.484,10.8,28.3,.074, home, 56.1, 5.2, 6.3, loss
BOS, 109, .576, 13.3, 22.2, .129, away, 69.8, 8.5, 1.9, loss
TOR, 115,.620,12.6,26.5,.145, home, 50.0, 7.5, 8.5, win
MIA, 87, .537, 20.9, 23.3, .206, away, 69.7, 3.5, 5.7, loss
WAS, 106,.552,9.8,31.4,.128, home, 60.0, 12.7, 5.7, win
LAC, 102, .488, 8.6, 19.5, .300, away, 52.8, 9.7, 5.5, loss
CLE, 115,.584,12.2,34.1,.217, home, 69.0, 5.4, 3.6, win
MEM, 102, .542, 12.4, 11.8, .333, away, 58.3, 7.8, 12.0, win
DEN, 101,.506,9.9,23.3,.250, home, 72.2, 6.6, 2.0, loss
DET, 99, .456, 13.1, 35.3, .176, away, 44.7, 5.5, 2.7, loss
NOP, 115,.564,8.7,29.7,.209, home, 56.5, 8.7, 8.2, win
SAS, 117, .541, 7.5, 22.7, .279, away, 57.1, 8.6, 9.5, win
PHO, 89,.432,12.5,21.4,.235, home, 56.3, 3.2, 5.6, loss
ATL, 88, .464, 17.3, 15.2, .119, away, 60.0, 14.9, 13.2, loss
SAC, 91,.397,15.6,32.7,.196, home, 72.7, 12.9, 7.8, win
CHI, 101, .444, 16.6, 33.3, .247, away, 28.9, 7.0, 5.5, loss
BOS, 110,.490,10.2,31.4,.167, home, 60.5, 14.0, 7.9, win
UTA, 108, .633, 14.6, 33.3, .173, away, 65.1, 5.9, 6.8, win
